weight logl norm alpha beta
6.620334202971140697e-45 -1.092895153393041170e+02 6.967700039046791360e+00 1.703561462380181801e+00 6.241416479869755785e-01
7.118694351835854219e-45 -1.092144368607542333e+02 9.301953863318301430e+00 3.300550658348436528e+00 1.485012194114228690e+00
7.470711441188286650e-45 -1.091636709574173096e+02 9.130160933269555912e+00 2.216196131819152537e+00 3.479888071700302232e-01
1.357272729051722147e-44 -1.085640987587537580e+02 6.643150558312205245e-01 2.210993847646927968e+00 2.921326013976189295e-01
1.698410674581063656e-44 -1.083373831823493418e+02 3.364174601699000622e+00 1.527095587338773042e+00 2.778547194545538113e-01
2.760286000828184741e-44 -1.078492418009682297e+02 5.999043205902879983e+00 1.504071540413019825e+00 1.066895878748674198e+00
3.343245562200557815e-44 -1.076551340384381774e+02 8.029788458445576538e+00 1.773935224555415413e+00 7.282296029042811814e-01
1.136176929011936906e-43 -1.064293219502819170e+02 1.160255939727962815e+00 1.462543593237582096e+00 5.415277405109831799e-01
2.774724064254771088e-43 -1.055339396998734713e+02 1.528774008215493696e+00 1.336049300683610941e+00 7.018528885028556541e-01
2.867169851360831190e-43 -1.054986655770908470e+02 4.435499247178251281e+00 1.402055234057350219e+00 1.022849097498184534e+00
3.343106025540555096e-43 -1.053425906832014647e+02 2.511611052977724690e+00 1.178186426668016429e+00 1.302098494521982674e+00
3.472993402056559588e-43 -1.053019741318451850e+02 7.447163028950430252e+00 2.886786012946746638e+00 6.762396252151481324e-01
4.633238096840710350e-43 -1.050112350092045688e+02 4.772399743463315858e+00 1.622044746816037497e+00 3.893835778752973709e-01
5.711314359752800725e-43 -1.047995418230479601e+02 5.929464970732692741e+00 2.450777100568709788e+00 5.916516878549637343e-02
8.876979110898495408e-43 -1.043560296969110368e+02 1.691764876822689168e+00 1.246687838974267937e+00 1.440991336982012649e+00
1.121080153778386367e-42 -1.041201132692627880e+02 1.761758931051823795e+00 1.229631861430762196e+00 1.432966859500634405e+00
1.549773347923910693e-42 -1.037937972197360637e+02 7.422089126240171808e+00 1.700057585789202408e+00 8.792703527267288210e-01
2.773048885390566852e-42 -1.032094585172882688e+02 9.748313997440623879e+00 2.565700545601046212e+00 6.346264901960344540e-01
