norm alpha beta
3.169740655396437123e+00 2.653502892491894194e+00 4.433509872555275177e-01
3.057126427022544668e+00 2.694414358257619657e+00 4.399032631496536117e-01
3.003601756152010083e+00 2.603270336113118866e+00 2.447016125357578953e-01
2.785154419610638588e+00 2.658371247819373728e+00 3.445512046982407983e-01
3.018424272806561781e+00 2.485762840052810674e+00 2.644925268242753758e-01
2.559728557931102877e+00 2.688269001684163939e+00 3.308593282103329258e-01
3.202090160269540409e+00 2.652260007255156982e+00 3.396925133931597562e-01
2.463063791644478862e+00 2.642068769336599843e+00 3.320226327061631122e-01
2.936826291783211751e+00 2.563191323592552529e+00 2.855969609567850509e-01
2.436168262839991439e+00 2.749250488401761672e+00 4.669206603227186725e-01
2.357373235603349215e+00 2.727275062843543374e+00 4.408881739705340363e-01
2.130465960635596900e+00 2.666055813783541950e+00 1.304578051096386415e-01
3.170467231767569505e+00 2.609677990051270324e+00 4.750418548651801909e-01
2.817314780273379338e+00 2.511517117256182541e+00 2.759919887081558887e-01
3.278331461790054746e+00 2.442971010320460046e+00 6.392850054872825094e-01
3.315519354656978557e+00 2.725091675217073739e+00 4.377916934617832045e-01
3.099298781654284518e+00 2.546093182703812907e+00 4.523226414294277964e-01
2.684564234377309067e+00 2.595206525487229854e+00 3.111312660965945831e-01
2.481330977518622305e+00 2.666148950911596316e+00 4.132803743680525943e-01
3.566940054665223236e+00 2.526068080373777391e+00 4.374907868699980940e-01
3.225356867561671503e+00 2.620407340664801854e+00 4.638929337043232182e-01
2.589145135076809989e+00 2.550801608649656327e+00 3.037054722767845716e-01
2.787411508128043280e+00 2.596537527660712996e+00 3.817076117960448434e-01
3.115280516364106411e+00 2.580920932757807762e+00 4.549398141250438066e-01
2.746829752429371663e+00 2.645553165707304366e+00 3.269499573408002346e-01
2.564012862314864361e+00 2.638338880362959937e+00 4.032924465141838333e-01
2.763237262846425679e+00 2.469874515378142732e+00 3.983639788256437275e-01
2.614288884727451467e+00 2.672867303546662132e+00 3.595921303853716333e-01
2.830731213235524013e+00 2.618557492792916719e+00 6.378863890411740067e-01
2.919202106055187151e+00 2.664847439893125447e+00 4.601271337950444407e-01
2.856981467806821051e+00 2.452937924525289137e+00 1.828147919403179666e-01
2.646021450653294860e+00 2.655906812028661967e+00 2.650797314502040813e-01
3.027218319173053729e+00 2.623184238147350023e+00 6.192776621474902488e-01
3.086674363763677320e+00 2.498304449664662918e+00 1.961467867866580339e-01
2.643689728611322565e+00 2.499578532813264697e+00 1.679888783223897897e-01
2.633409220718909260e+00 2.613394801884454388e+00 4.176833317792035816e-01
2.207594045772463431e+00 2.627697370029605128e+00 2.373737873073129001e-01
3.040915762851850612e+00 2.561179510827292560e+00 3.215945033974336731e-01
2.765949007174006269e+00 2.560590720473631343e+00 2.908506017121131326e-01
2.859985954263386088e+00 2.644577186985583417e+00 2.325358986101416781e-01
3.006800206381361029e+00 2.630809899679316999e+00 3.682714554981424415e-01
3.440458838215406434e+00 2.619010356445814480e+00 4.699184837236431989e-01
3.074919763064197120e+00 2.547427491087976836e+00 3.230144993109761997e-01
2.688546939594642637e+00 2.590581597161522254e+00 1.998943985668634737e-01
3.100630083271457504e+00 2.686510658883205949e+00 4.273082042133363734e-01
2.635357100650205009e+00 2.616771656752737485e+00 2.337653969777533369e-01
3.053515439388577946e+00 2.686409726547244858e+00 5.146704348973381027e-01
3.179669568038490990e+00 2.636207660994555724e+00 5.399831992838354244e-01
